Sample   	OWR	           Timestamp
      625	1  	       27.000,000 us
      626	0  	       40.000,000 us
      627	1  	       27.000,000 us
      628	0  	       40.000,000 us
      629	1  	       10.000,000 us
      630	0  	       56.000,000 us
      631	1  	       28.000,000 us
      632	0  	      545.000,000 us
      633	1  	       10.000,000 us
      634	0  	       56.000,000 us
      635	1  	       11.000,000 us
      636	0  	       56.000,000 us
      637	1  	       10.000,000 us
      638	0  	       57.000,000 us
      639	1  	       10.000,000 us
      640	0  	       57.000,000 us
      641	1  	       10.000,000 us
      642	0  	       57.000,000 us
      643	1  	       10.000,000 us
      644	0  	       56.000,000 us
      645	1  	       11.000,000 us
      646	0  	       56.000,000 us
      647	1  	       28.000,000 us
      648	0  	      544.000,000 us
      649	1  	       10.000,000 us
      650	0  	       57.000,000 us
      651	1  	       10.000,000 us
      652	0  	       57.000,000 us
      653	1  	       10.000,000 us
      654	0  	       57.000,000 us
      655	1  	       10.000,000 us
      656	0  	       56.000,000 us
      657	1  	       10.000,000 us
      658	0  	       57.000,000 us
      659	1  	       10.000,000 us
      660	0  	       57.000,000 us
      661	1  	       10.000,000 us
      662	0  	       57.000,000 us
      663	1  	       10.000,000 us
      664	0  	      562.000,000 us
      665	1  	       27.000,000 us
      666	0  	       40.000,000 us
      667	1  	       27.000,000 us
      668	0  	       39.000,000 us
      669	1  	       10.000,000 us
      670	0  	       57.000,000 us
      671	1  	       28.000,000 us
      672	0  	       39.000,000 us
      673	1  	       27.000,000 us
      674	0  	       40.000,000 us
      675	1  	       27.000,000 us
      676	0  	       39.000,000 us
      677	1  	       28.000,000 us
      678	0  	       39.000,000 us
      679	1  	       28.000,000 us
      680	0  	      545.000,000 us
      681	1  	       27.000,000 us
      682	0  	       40.000,000 us
      683	1  	       27.000,000 us
      684	0  	       40.000,000 us
      685	1  	       27.000,000 us
      686	0  	       39.000,000 us
      687	1  	       28.000,000 us
      688	0  	       39.000,000 us
      689	1  	       10.000,000 us
      690	0  	       57.000,000 us
      691	1  	       27.000,000 us
      692	0  	       40.000,000 us
      693	1  	       27.000,000 us
